,Country,Electricity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,World,Generation (billion kWh),8017.590350709011,8073.384882909436,8255.4883439262,8594.771855056671,9085.148539370703,9463.924684108728,9660.179602121925,10100.19388960805,10534.432375760682,11062.108921070827,11310.03470973098,11550.535005674617,11633.22258808871,11906.423625448557,12182.904831084767,12627.084520743236,13010.988465095794,13339.723265281515,13677.56796584877,14016.494958597432,14635.284225088,14886.67899607,15406.81247872,15934.458893739,16704.834828565,17347.839689207,18045.193105022,18887.445300368,19190.864068759,19134.491875833,20508.911281308,21226.127514485,21745.313403564,22439.664897664,22848.810606341,23292.892435459,23971.027031805,24690.703205971,25517.592334554,25887.406752116,25884.192048987,27295.181045598
1,World,Fossil fuels (billion kWh),5588.874065247,5525.695247607,5563.292388937,5703.434012349,5912.569199488,6043.397152885094,6103.5351320080445,6398.839903837161,6613.935287410931,7053.6721755778135,7141.243425381255,7243.845302204044,7288.090937922068,7366.8195401665525,7568.480426759054,7804.469091668113,8065.9804838657765,8347.457581018076,8620.999657470393,8831.420799904534,9346.122309059,9572.290984172,9992.853493815,10517.646293812,10978.522527674,11459.903241909,11975.530404447,12781.747797769,12870.356100966,12700.603492275,13712.855100693,14325.551441457,14694.881241847,15035.670311553,15155.130978664,15355.581364914,15609.807215632,15947.524622043,16303.565057009,16250.801902987,15835.015388467,16832.819163241
2,World,Renewables (billion kWh),1754.115066491612,1779.940740472612,1833.719255232612,1918.5782816696121,1985.996760759612,2006.733248762554,2051.78315335047,2061.6553609952803,2140.669955081251,2178.297390033513,2278.6108153400546,2327.852556470573,2346.086700166642,2476.5560162820034,2507.3345513257123,2632.7557480751225,2675.242452270017,2745.4483336634394,2764.0729561783783,2817.1332428928986,2865.275854409,2825.535139728,2898.893189158,2927.373199191,3134.848652471,3290.671251028,3436.452944055,3524.602013139,3747.335332693,3895.439153375,4195.149045956,4410.985358238,4730.884193417,5067.589523111,5304.493029677,5518.761659204,5909.312178373,6265.593148128,6681.431744945,7004.802954529,7491.4730971,7801.504076477
3,World,Non-hydroelectric renewables (billion kWh),31.54697670361204,33.17807635261204,43.49501809661204,46.58967613261204,52.12909399261204,54.67479470306094,59.99329711216314,65.81904268461204,68.50225545961204,117.9457300077589,134.2030050244336,144.91414389918398,157.39284583094323,162.86381424506254,170.77760070107223,179.2267923781505,185.32348613714,200.14259732643944,211.9635166873782,227.6400841778987,243.177764057,258.220525894,287.84907378,311.181565011,347.59505855,384.123166459,428.923734734,488.13320993,574.460059936,665.548669221,786.612852863,940.038076421,1100.803938446,1306.765040823,1473.328081261,1673.33217313,1926.158451067,2237.502378007,2520.836900563,2820.772639404,3168.765386661,3576.769968357
4,World,Consumption (billion kWh),7323.372305717931,7410.42911814836,7569.413688417245,7872.425977482276,8361.737719825596,8662.099348173328,8888.361762504255,9278.659621343695,9699.463798467037,10131.9368076139,10401.81597289649,10607.67661786688,10673.913201314763,10881.533919042638,11132.100833843515,11506.576040859067,11838.24147235132,12154.359114003111,12449.240873366452,12713.208130951047,13260.4545020218,13516.487704642248,13969.470793001015,14485.847328610502,15157.881978845586,15753.236376064762,16438.213770396822,17205.11980782516,17481.78600687478,17439.90135825447,18752.553063674,19443.761735879,19923.46655468226,20578.4362942118,20986.46350139891,21405.42846936529,22027.45483996366,22721.65623728,23536.389654535,23921.422761762,23965.641287211,25342.804898414
5,Afghanistan,Generation (billion kWh),0.942,0.992,0.952,1.0,1.019,1.034,1.135,1.218,1.08,1.089,1.098,0.989,0.685,0.677,0.669,0.608,0.549,0.499,0.46,0.455,0.467,0.592,0.687,0.939,0.894,0.934,0.837,0.946,0.72801,0.9381,0.9363,0.7713,0.882,1.1034,1.159,1.1832,1.2147,1.26426,1.16493,1.07269,0.80728,0.82909392
6,Afghanistan,Fossil fuels (billion kWh),0.231,0.271,0.245,0.254,0.262,0.264,0.422,0.462,0.336,0.339,0.342,0.306,0.212,0.207,0.202,0.196,0.188,0.177,0.16,0.155,0.155,0.094,0.132,0.309,0.329,0.344,0.2,0.198,0.186,0.162,0.185,0.176,0.144,0.2184,0.159,0.1492,0.1547,0.17626,0.19993,0.18269,0.12428,0.13223392
7,Afghanistan,Renewables (billion kWh),0.711,0.721,0.707,0.746,0.757,0.77,0.713,0.756,0.744,0.75,0.756,0.683,0.473,0.47,0.467,0.412,0.361,0.322,0.3,0.3,0.312,0.498,0.555,0.63,0.565,0.59,0.637,0.748,0.54201,0.7761,0.7513,0.5953,0.738,0.885,1.0,1.034,1.06,1.088,0.965,0.89,0.683,0.69686
8,Afghanistan,Non-hydroelectric renewables (billion kWh),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0001,0.0003,0.0003,0.028,0.03,0.032,0.033,0.035,0.038,0.037,0.05,0.063,0.07686
9,Afghanistan,Consumption (billion kWh),0.87606,0.92256,0.88536,0.93,0.94767,0.96162,1.05555,1.13274,1.0044,1.01277,1.02114,1.04477,0.76805,0.72961,0.75017,0.68544,0.62057,0.56407,0.5278,0.52315,0.442,0.567,0.657,0.889,0.844,0.889,1.069,1.345,1.28001,1.8731,2.2043,2.6133,3.549,4.2284,4.349,4.4402,4.9577,5.26056,5.51093,5.31469,5.28916,5.530597212
