,year,generation,fossil,renewable,nonhydro
0,1980,8017,5588,1754,31
1,1981,8073,5525,1779,33
2,1982,8255,5563,1833,43
3,1983,8594,5703,1918,46
4,1984,9085,5912,1985,52
5,1985,9463,6043,2006,54
6,1986,9660,6103,2051,59
7,1987,10100,6398,2061,65
8,1988,10534,6613,2140,68
9,1989,11062,7053,2178,117
10,1990,11310,7141,2278,134
11,1991,11550,7243,2327,144
12,1992,11633,7288,2346,157
13,1993,11906,7366,2476,162
14,1994,12182,7568,2507,170
15,1995,12627,7804,2632,179
16,1996,13010,8065,2675,185
17,1997,13339,8347,2745,200
18,1998,13677,8620,2764,211
19,1999,14016,8831,2817,227
20,2000,14635,9346,2865,243
21,2001,14886,9572,2825,258
22,2002,15406,9992,2898,287
23,2003,15934,10517,2927,311
24,2004,16704,10978,3134,347
25,2005,17347,11459,3290,384
26,2006,18045,11975,3436,428
27,2007,18887,12781,3524,488
28,2008,19190,12870,3747,574
29,2009,19134,12700,3895,665
30,2010,20508,13712,4195,786
31,2011,21226,14325,4410,940
32,2012,21745,14694,4730,1100
33,2013,22439,15035,5067,1306
34,2014,22848,15155,5304,1473
35,2015,23292,15355,5518,1673
36,2016,23971,15609,5909,1926
37,2017,24690,15947,6265,2237
38,2018,25517,16303,6681,2520
39,2019,25887,16250,7004,2820
40,2020,25884,15835,7491,3168
