,Country,Electricity,2017,2018,2019,2020,2021
40,Argentina,Generation (billion kWh),138.361716,139.5190962,132.9748624,138.5618813,146.5655285
42,Argentina,Renewables (billion kWh),33.935703,35.2561988,35.2326309,37.5183636,37.7794952
44,Argentina,Consumption (billion kWh),125.838716,125.4050962,122.7998624,122.5348813,126.7355285
90,Belgium,Generation (billion kWh),82.77065,71.8065043,89.9204609,85.690887,94.8636857
92,Belgium,Renewables (billion kWh),17.1021,18.3339,20.6093,24.4857003,22.7492192
94,Belgium,Consumption (billion kWh),84.94295,85.3523042,84.4756648,81.9030948,83.4132299
205,China,Generation (billion kWh),6389.805784,6800.815757,7152.5058964,7455.4671854,8151.5182314
207,China,Renewables (billion kWh),1661.477906,1833.4921301,2012.5196201,2174.5576789,2363.2844584
209,China,Consumption (billion kWh),6057.175784,6450.426757,6802.6988964,7115.0771854,7805.656340855
660,Mexico,Generation (billion kWh),309.142926,332.0100742,318.0778573,325.5056802,336.9582235
662,Mexico,Renewables (billion kWh),50.542131,53.6799145,54.5979996,64.7805854,77.18617
664,Mexico,Consumption (billion kWh),265.574923,291.1822412,278.8829731,292.5304682,300.9570645
730,New Zealand,Generation (billion kWh),43.311000443,43.420878833,43.819669932,43.182236182,43.41414144
732,New Zealand,Renewables (billion kWh),35.645316364,36.641675735,36.280282911,35.071804059,35.703674813
734,New Zealand,Consumption (billion kWh),40.366810443,40.478853833,40.819042932,40.225921182,40.51547044
890,Saudi Arabia,Generation (billion kWh),355.52422,363.73466,362.3247,344.489577637,366.658050605
892,Saudi Arabia,Renewables (billion kWh),0.0698,0.2188,0.326,0.785,0.95638
894,Saudi Arabia,Consumption (billion kWh),323.06642,330.59566,331.5737,308.342577637,329.007271343
1040,Turkey,Generation (billion kWh),280.6477644,255.6252953,297.4186944,328.8368523,317.1005807
1042,Turkey,Renewables (billion kWh),86.657855,96.9127531,131.226238,128.1087069,116.3920178
1044,Turkey,Consumption (billion kWh),245.4128954,223.3553144,265.5560654,298.8749291,284.2542337
1095,United States,Generation (billion kWh),4059.43317776,4210.52697786,4165.53132717,4051.28922585,4164.56471907
1097,United States,Renewables (billion kWh),723.58137462,749.32829313,776.96132099,837.38953729,887.55168441
1099,United States,Consumption (billion kWh),3888.30564548,4032.62826743,3989.37824873,3897.894198303,3979.279761061
1140,Zambia,Generation (billion kWh),14.434903,16.131655,14.660972,15.105044,17.714251
1142,Zambia,Renewables (billion kWh),12.567123,13.785415,12.528112,13.021064,16.298988
1144,Zambia,Consumption (billion kWh),12.502605,13.385809,12.272597733,11.795772,14.320751558
