,Country,ratio_2019,ratio_2020,ratio_2021,iso3,id
0,Afghanistan,5.971561797752808,7.744011713030746,7.936453824297563,AFG,004
1,Albania,1.2558385529971368,1.2528458498023716,0.8273923948863672,ALB,008
2,Algeria,79.62485065710872,88.3424449001387,75.71552300024258,DZA,012
3,American Samoa,31.2,29.2425124,31.119610599999998,ASM,016
4,Angola,1.2313911828344752,1.2121889582648702,1.2425747316948283,AGO,024
5,Antigua and Barbuda,21.230769230769234,16.401503187499998,14.645245389344263,ATG,028
6,Argentina,3.4854014379039744,3.2659974887604104,3.354611485121167,ARG,032
7,Australia,4.447107729699865,3.7321547138185904,3.3137394474981554,AUS,036
8,Austria,1.2531394840186374,1.1915172037645412,1.3145575972166157,AUT,040
9,Bahrain,3103.9,2946.1387288,2571.976674672131,BHR,048
10,Bangladesh,69.37164211477632,57.129660880949096,56.92428016825691,BGD,050
11,Barbados,21.775227272727275,14.098095424242423,12.49040373820169,BRB,052
12,Belgium,4.098909948421344,3.3449357705321585,3.666641442357723,BEL,056
13,Belize,2.527413358403487,3.7538142833333334,3.8550903958333333,BLZ,084
14,Benin,115.34739454094293,74.23229461756374,64.9358553349876,BEN,204
15,Bermuda,,,,BMU,060
16,Bhutan,0.26530555245223997,0.28208892626522175,0.3631678415731585,BTN,064
17,Botswana,693.6896666666667,537.0216666666666,558.8396933333333,BWA,072
18,Brazil,1.0449834365762014,1.0213856545248907,1.1488336499520524,BRA,076
19,Bulgaria,4.79525707258637,4.651178666564974,3.64117707673459,BGR,100
20,Burkina Faso,12.389654205607476,11.637420632075473,11.282547717433353,BFA,854
21,Burundi,1.785175965665236,1.7559530343730216,1.7878675210019332,BDI,108
22,Cabo Verde,4.04578313253012,4.161591178082192,4.403609136986302,CPV,132
23,Cambodia,2.387076604846861,2.4572563625148596,2.4492417450470496,KHM,116
24,Cameroon,1.2145473880597013,1.1617944182678206,1.2120211930278886,CMR,120
25,Canada,1.2924550327506878,1.2375570330819345,1.2978191664967587,CAN,124
26,Cayman Islands,39.23529411764706,34.6138052631579,33.44727080952381,CYM,136
27,Central African Republic,0.9396000000000001,0.94,0.9404266666666666,CAF,140
28,Chad,13.85578947368421,13.083220421052632,13.872693894736845,TCD,148
29,Chile,2.0567662199502057,1.960472974677501,2.001228837208799,CHL,152
30,China,3.3801901002396093,3.2719652619189947,3.302884810633256,CHN,156
31,Colombia,1.3551600545221614,1.4182662268577708,1.259386951435339,COL,170
32,Comoros,,,,COM,174
33,Cook Islands,2.8666666666666667,2.6923076923076925,2.488020176544767,COK,184
34,Costa Rica,0.8817019286677908,0.8170496880098854,0.8385733033326583,CRI,188
35,Cuba,17.712277227722772,16.49347581911077,17.300538228562683,CUB,192
36,Cyprus,9.192678074664386,7.392557049150617,5.992975455214319,CYP,196
37,Denmark,1.4281098563230918,1.4706774890602243,1.4901280387032356,DNK,208
38,Djibouti,467.4,464.54974500000003,383.76797459016393,DJI,262
39,Dominica,3.875625649258665,3.767740055369372,3.9546548088223448,DMA,212
40,Dominican Republic,7.225006838295315,4.964253984109528,5.156472213477132,DOM,214
41,Ecuador,1.0377438421697782,1.0343207997090764,1.0198959327501185,ECU,218
42,Egypt,7.569299256241413,7.3428558396748125,7.204486300605431,EGY,818
43,El Salvador,1.533046117647059,1.1563235572374646,1.1637544641353146,SLV,222
44,Equatorial Guinea,2.7946383928571428,2.5917372101582625,2.886236825,GNQ,226
45,Eswatini,3.778280652208021,3.3132081173357926,3.384739782068806,SWZ,748
46,Ethiopia,0.6889644210955688,0.6475807842530973,0.6488716877824046,ETH,231
47,Faroe Islands,2.2441290322580643,2.429299363057325,2.5295058471337577,FRO,234
48,Fiji,1.5644672233820462,1.456879350348028,1.4886302186069595,FJI,242
49,Finland,2.608904815201533,2.2135342770022115,2.2333028220539015,FIN,246
50,France,3.876277192231409,3.3516808276794583,3.6315944538583356,FRA,250
51,French Polynesia,2.9064061790095415,2.7844345790184604,2.8849929231452687,PYF,258
52,Gabon,2.3660291437157737,2.203187778486952,2.320799121802968,GAB,266
53,Ghana,1.940895310408871,2.3285753052917233,2.5066865508916325,GHA,288
54,Gibraltar,,,,GIB,292
55,Greece,3.226127555907329,2.636558762431239,2.407162657394044,GRC,300
56,Greenland,1.20425,1.153424108,1.165419484,GRL,304
57,Grenada,46.47619047619048,43.94936880952382,39.13537165354331,GRD,308
58,Guam,24.369391838983788,23.29198689133146,20.60547025489539,GUM,316
59,Guatemala,1.3775922999522974,1.2531378758864837,1.341479158576228,GTM,320
60,Guinea,1.3410373760488177,1.1654346354877558,1.227900223156853,GIN,324
61,Guinea-Bissau,38.229,38.229,38.228893,GNB,624
62,Guyana,10.304131355932203,9.666806302966101,10.390711451271185,GUY,328
63,Haiti,2.1581920903954805,2.6786902474793766,2.7377606314529404,HTI,332
64,Honduras,1.1932550922454415,1.2310221480277537,1.2475104547634872,HND,340
65,Hong Kong,289.171974522293,279.8466265822785,287.51083241562446,HKG,344
66,Hungary,8.526840647883207,7.287809399021663,6.284072688241309,HUN,348
67,Iceland,0.9723630615722064,0.9714026490683624,0.9713642176089001,ISL,352
68,India,4.43896967029951,4.28870036898634,4.23614996119493,IND,356
69,Indonesia,5.3011891132389675,5.027450657646081,5.010230064796853,IDN,360
70,Iraq,10.647083926936943,9.594784564520507,9.993218919272314,IRQ,368
71,Ireland,2.3868569909653994,2.1224163331688928,2.845733194353672,IRL,372
72,Israel,21.450232597972047,15.91985633802817,12.658946853146853,ISR,376
73,Italy,2.9488379736630463,2.423634228809603,2.603658265099129,ITA,380
74,Jamaica,5.714936106368669,5.225940098037639,5.2680836022921875,JAM,388
75,Japan,5.065283554304581,4.634153418574251,4.408761515793106,JPN,392
76,Jordan,5.854349884995265,4.199939057262733,3.8718731744714923,JOR,400
77,Kenya,0.8710864662755168,0.8361498153554292,0.8325115805242467,KEN,404
78,Kiribati,5.196816208393632,5.651643580731858,6.011536076080215,KIR,296
79,Kuwait,1139.327857142857,1137.8151291509434,1218.4672423207548,KWT,414
80,Kyrgyzstan,0.2783039794220003,0.24542564568552755,0.21198851562172363,KGZ,417
81,Lebanon,16.350299906010317,14.557462470372217,16.71728586524823,LBN,422
82,Lesotho,1.8200998003992015,1.821756487025948,1.800095971828738,LSO,426
83,Liberia,68.75,1.589887640449438,1.6312918333333333,LBR,430
84,Libya,3185.9175,3175.490548625,3397.503403875,LBY,434
85,Luxembourg,7.447628117414892,5.9258944196458385,6.22099885637076,LUX,442
86,Madagascar,2.023793479157538,2.631319789136667,2.6306563291054115,MDG,450
87,Malawi,0.8179578670177748,0.8087385019710908,0.7876824916488002,MWI,454
88,Malaysia,5.100104151692507,4.811929829507869,5.045308341285067,MYS,458
89,Maldives,18.696969696969695,14.152987119047618,12.588276397637797,MDV,462
90,Mali,2.4904022988505745,2.3888313234165066,2.450339087831656,MLI,466
91,Malta,12.270112804458751,9.724594599142472,9.464404355413917,MLT,470
92,Mauritania,3.9674725274725273,3.648895725571726,3.71979900502366,MRT,478
93,Mauritius,4.1257102272727275,3.8533432392273403,3.9733039589685304,MUS,480
94,Mexico,5.10793390129993,4.5157120207190955,3.8991060769047095,MEX,484
95,Mongolia,11.414949452801075,10.933888717514943,11.135187129310346,MNG,496
96,Montserrat,,,,MSR,500
97,Morocco,4.240367377475439,4.512907718732464,4.325576231209933,MAR,504
98,Mozambique,0.8947373251044598,0.7925541934238272,0.8331487528721433,MOZ,508
99,Nauru,15.942999999999998,11.5,10.225778961748633,NRU,520
100,Nepal,1.070172948344398,1.1987958889711363,1.1845040546019292,NPL,524
101,Netherlands,4.671118818531795,3.4499350262620627,2.910486514288475,NLD,528
102,New Caledonia,5.762921348314606,7.351789976133652,7.1865611738260515,NCL,540
103,New Zealand,1.1251026633980263,1.1469589963016849,1.1347703185232907,NZL,554
104,Nicaragua,1.4599028128169336,1.6721620992662822,1.7923565652278235,NIC,558
105,Niger,29.294260869565218,26.195369565217394,27.80887934782609,NER,562
106,Nigeria,3.1419266087780207,3.2092444607867683,3.29724559831391,NGA,566
107,Niue,,,,NIU,570
108,Norway,0.9545054817619056,0.8189601873906683,0.8363938084121388,NOR,578
109,Oman,1911.0599999999997,239.0471856796875,209.91173988217213,OMN,512
110,Pakistan,2.8478250478011473,2.7052481363152285,2.8764296949511046,PAK,586
111,Panama,1.4046325080940032,1.1227940051630174,1.1369012486515346,PAN,591
112,Papua New Guinea,3.3306942206119166,3.498837001610306,3.6733864420425313,PNG,598
113,Paraguay,0.2619574895085072,0.30697459997454146,0.19182978693898625,PRY,600
114,Peru,1.4777890885889613,1.378695852184228,1.4735127147753997,PER,604
115,Philippines,4.350701787351572,4.15321999283411,4.29367720506524,PHL,608
116,Poland,6.003339045113243,5.223474518805809,5.119848973278347,POL,616
117,Portugal,1.7907602652080559,1.5771894289064554,1.5328886870681515,PRT,620
118,Puerto Rico,34.54779871520342,34.756095444685464,34.82574107914808,PRI,630
119,Qatar,350.06001709347595,294.1741225099042,311.0756985477421,QAT,634
120,Romania,2.0302770389042504,1.9743413665159644,1.928867990436592,ROU,642
121,Rwanda,1.8965957936168691,1.2797754959734207,1.3625550472440944,RWA,646
122,Saint Kitts and Nevis,28.956666666666667,27.206927,29.310837,KNA,659
123,Saint Lucia,102.28200506008855,96.73751454775459,103.40428273244783,LCA,662
124,Saint Pierre and Miquelon,,,,SPM,666
125,Samoa,2.2116014345859973,2.424138468735381,2.5340181974115077,WSM,882
126,Sao Tome and Principe,7.8,8.32,8.866349699999999,STP,678
127,Saudi Arabia,1017.0972392638035,392.79309253121016,344.01312380329995,SAU,682
128,Senegal,6.5053638814016175,4.802639135742187,4.66370797315479,SEN,686
129,Seychelles,10.763702127659574,8.71076923076923,7.863257245447551,SYC,690
130,Sierra Leone,0.6881469080034958,0.6834200440134357,0.6891036895473356,SLE,694
131,Singapore,22.409170315236427,21.719538163001296,21.155793925629748,SGP,702
132,Solomon Islands,13.164794778825236,13.175489485134154,13.987539666424945,SLB,090
133,Somalia,19.183139534883722,12.08543046357616,11.064350140924466,SOM,706
134,South Africa,16.342111811149213,14.920150446638457,11.373402106304388,ZAF,710
135,Spain,2.449713988206558,2.0371272618680663,1.9031129095440722,ESP,724
136,Sri Lanka,2.57367880524799,2.40406664895975,2.472651387439883,LKA,144
137,Sudan,1.316661928381321,1.2756919637227007,1.305997684307732,SDN,729
138,Suriname,2.3944141857763204,2.2956808774326465,2.3185597003708307,SUR,740
139,Sweden,1.290337547386262,1.1287112892432614,1.1595733494918363,SWE,752
140,Switzerland,1.351245751812965,1.2844520999513054,1.380471727915917,CHE,756
141,Tajikistan,2.484580346475508,2.0978638854303844,2.2436239210854647,TJK,762
142,Thailand,5.950135243255044,6.569824952025679,6.1269507791481175,THA,764
143,Togo,5.853236454391756,7.573652637542491,7.368182097445039,TGO,768
144,Tonga,7.805999999999999,6.794,7.202576,TON,776
145,Trinidad and Tobago,1368.9865,1296.5052526666666,1383.9269968333333,TTO,780
146,Tunisia,20.640942163028733,18.06703147911187,16.564713018456224,TUN,788
147,Turkey,2.0236506772372764,2.3329790482804413,2.442214157576019,TUR,792
148,Turks and Caicos Islands,232.618,243.5,212.92481967213118,TCA,796
149,Tuvalu,,,,TUV,798
